post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;meta:total_sales;meta:_global_unique_id;meta:_aioseo_title;meta:_aioseo_description;meta:_aioseo_keywords;meta:_aioseo_og_title;meta:_aioseo_og_description;meta:_aioseo_twitter_title;meta:_aioseo_og_article_tags;meta:_aioseo_twitter_description;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;tax:product_brand;attribute:Marca;attribute_data:Marca
"Griglia Gico usata a gas";griglia-gico-usata-a-gas;;8;"<strong>Griglia Gico usata a gas</strong>
- Alimentazione a gas
- Dim:  80x90x95
- Con grigliato
- Potenza: 22.28 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Griglia Gico usata a gas</strong>
- Alimentazione a gas
- Dim:  80x90x95
- Con grigliato
- Potenza: 22.28 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;8VF9N126C;;;no;no;;2750;;;80;90;95;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/8VF9N126C.jpg ! alt :  ! title : 8VF9N126C ! desc :  ! caption : ";;https://www.borz.it/prodotto/griglia-gico-usata-a-gas/;0;;;;;;;;;;simple;;Occasioni;;;;Gico;0|1|0
"Lavastoviglie usata a capote Elframo";lavastoviglie-usata-a-capote-elframo;;14;"<strong>Lavastoviglie usata a capote Elframo </strong>
- Cesto 50 x 50
- Trifase
- Dim: 65 x 75 x 180
- Potenza: 6.2 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Lavastoviglie usata a capote Elframo </strong>
- Cesto 50 x 50
- Trifase
- Dim: 65 x 75 x 180
- Potenza: 6.2 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;14PX010730;;;no;no;;1740;;;65;75;180;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/05/14PX010730.png ! alt :  ! title : 14PX010730 ! desc :  ! caption : ";;https://www.borz.it/prodotto/lavastoviglie-usata-a-capote-elframo/;0;;;;;;;;;;simple;;Occasioni;;;;Elframo;0|1|0
"Impastatrice HERCULES 20 sirman nuova, esposizione";impastatrice-hercules-20-sirman-nuova-esposizione;;20;"<strong>Impastatrice HERCULES 20 sirman nuova, esposizione</strong>

- Potenza watt 750
- Capacita vasca 21 LT
- Potenza: 0.76 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Impastatrice HERCULES 20 sirman nuova, esposizione</strong>

- Potenza watt 750
- Capacita vasca 21 LT
- Potenza: 0.76 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;20BJJF0655;;;no;no;;1226.25;;;53;83;100;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/20BJJF0655-1-scaled.jpg ! alt :  ! title : 20BJJF0655-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/impastatrice-hercules-20-sirman-nuova-esposizione/;0;;;;[];;;;[];;simple;;Occasioni;;;;Sirman;0|1|0
"Griglia a gas Hendi nuova";griglia-a-gas-hendi-nuova;;63;"<strong>Griglia a gas Hendi nuova</strong>
Fornito con protezione antivento.
Griglia superiore in acciaio per mantenere salse e cibo finito caldi.
Tubo del gas con connettore rapido al barbecue.
Tubo del gas e regolatore attaccati alla bombola per una migliore portabilita.
Piastra smaltata in ghisa e 2 griglie Gastronorm 1/1 incluse Fornito con protezione antivento.
Griglia superiore in acciaio per mantenere salse e cibo finito caldi.
Tubo del gas con connettore rapido al barbecue.
Tubo del gas e regolatore attaccati alla bombola per una migliore portabilita.
- Potenza: 14 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Griglia a gas Hendi nuova</strong>
Fornito con protezione antivento.
Griglia superiore in acciaio per mantenere salse e cibo finito caldi.
Tubo del gas con connettore rapido al barbecue.
Tubo del gas e regolatore attaccati alla bombola per una migliore portabilita.
Piastra smaltata in ghisa e 2 griglie Gastronorm 1/1 incluse Fornito con protezione antivento.
Griglia superiore in acciaio per mantenere salse e cibo finito caldi.
Tubo del gas con connettore rapido al barbecue.
Tubo del gas e regolatore attaccati alla bombola per una migliore portabilita.
- Potenza: 14 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-22 12:00:00";4163;open;0063CT3305;;;no;no;;1242.8;;;108;60;85;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/0063CT3305-scaled.jpg ! alt :  ! title : 0063CT3305 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/0063CT3305_1-scaled.jpg ! alt :  ! title : 0063CT3305_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/griglia-a-gas-hendi-nuova/;0;;;;[];;;;[];;simple;;Occasioni;;;;Hendi;0|1|0
"Forno convezione gico usato";forno-convezione-gico-usato;;9843;"<strong>Forno convezione gico usato</strong>
- Alimentazione elettrica trifase
- Capacita 7 teglie
- Dim 90x89x89
- Potenza: 8 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno convezione gico usato</strong>
- Alimentazione elettrica trifase
- Capacita 7 teglie
- Dim 90x89x89
- Potenza: 8 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;9843-1;;;no;no;;980;;;90;89;89;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/9843-1-1-scaled-e1744122846897.jpeg ! alt :  ! title : 9843-1-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-convezione-gico-usato/;0;;;;;;;;;;simple;;Occasioni;;;;GICO;0|1|0
"Pelapatate Pasquini sala demo";pelapatate-pasquini-sala-demo;;24707;"<strong>Pelapatate Pasquini sala demo</strong>
- Condizioni  Ottime
- In acciaio inox
- Capacita 10 kg
- Con cassetto e filtro
- Dim 35x40x90
- Potenza: 0.55 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Pelapatate Pasquini sala demo</strong>
- Condizioni  Ottime
- In acciaio inox
- Capacita 10 kg
- Con cassetto e filtro
- Dim 35x40x90
- Potenza: 0.55 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;24707;;;no;no;;1270;;;35;40;90;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/24707-1-scaled.jpg ! alt :  ! title : 24707-1.jpg ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/24707_1-scaled.jpg ! alt :  ! title : 24707_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/pelapatate-pasquini-sala-demo/;0;;;;[];;;;[];;simple;;Occasioni;;;;Pasquini;0|1|0
"Impastatrice a spirale trifase usata";impastatrice-a-spirale-trifase-usata;;120424;"<strong>Impastatrice a spirale trifase usata</strong>
- Potenza: 750 W
- Peso: 65 kg
- Corrente Alternata: V400 350Hz
- Dim: 30x65x70
- Diametro: 40 cm
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Impastatrice a spirale trifase usata</strong>
- Potenza: 750 W
- Peso: 65 kg
- Corrente Alternata: V400 350Hz
- Dim: 30x65x70
- Diametro: 40 cm
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;120424;;;no;no;;590;;;30;65;70;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/120424-scaled.jpg ! alt :  ! title : 120424 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/120424_1-scaled.jpg ! alt :  ! title : 120424_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/impastatrice-a-spirale-trifase-usata/;0;;;;[];;;;[];;simple;;Occasioni;;;;"Moretti Forni";0|1|0
"Tritacarne/Grattugia 22 Fimar usato";tritacarne-grattugia-22-usato;;812773;"<strong>Tritacarne/Grattugia 22 Fimar usato</strong>
- Dim: 20x60x45
- Potenza: 0.75 Kw
- Peso: 23 Kg
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Tritacarne/Grattugia 22 Fimar usato</strong>
- Dim: 20x60x45
- Potenza: 0.75 Kw
- Peso: 23 Kg
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;812773;;;no;no;;690;;;20;60;45;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/05/812773-1-scaled.jpg ! alt :  ! title : 812773-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/tritacarne-grattugia-22-usato/;0;;;;;;;;;;simple;;Occasioni;;;;Fimar;0|1|0
"Lavabicchieri Fast 30 DE elettrobar nuove esposizione";lavabicchieri-fast-30-de-elettrobar-nuove-esposizione;;917405;"<strong>Lavabicchieri Fast 30 DE elettrobar nuove esposizione</strong>

- Dimensione cestello 35x35
- Capacita 40 cesti all'ora
- Alimentazione elettrica monofase
- Potenza: 3.40 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Lavabicchieri Fast 30 DE elettrobar nuove esposizione</strong>

- Dimensione cestello 35x35
- Capacita 40 cesti all'ora
- Alimentazione elettrica monofase
- Potenza: 3.40 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;917405;;;no;no;;1190;;;40;49;60;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/917405-1-scaled.jpg ! alt :  ! title : 917405-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/lavabicchieri-fast-30-de-elettrobar-nuove-esposizione/;0;;;;;;;;;;simple;;Occasioni;;;;Elettrobar;0|1|0
"Friggitrice elettrica 1 vasca usata";friggitrice-elettrica-1-vasca-usata;;2138075;"<strong>Friggitrice elettrica 1 vasca usata</strong>
- Cesto incluso 
- Dim 40x90x90
- Alimentazione elettrica trifase
- Su armadio chiuso da anta
- Potenza: 16.50 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Friggitrice elettrica 1 vasca usata</strong>
- Cesto incluso 
- Dim 40x90x90
- Alimentazione elettrica trifase
- Su armadio chiuso da anta
- Potenza: 16.50 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-21 12:00:00";4163;open;2138075;;;no;no;;990;;;40;90;90;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/2138075-1-scaled.jpg ! alt :  ! title : 2138075-1.jpg ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/2138075_1-scaled.jpg ! alt :  ! title : 2138075_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/friggitrice-elettrica-1-vasca-usata/;0;;;;[];;;;[];;simple;;Occasioni;;;;;0|1|0
